overall,reviewText
5.0,"Satisfyingly unsettling---Johnson Road could be anyone's neighborhood! Character introduction was a bit complicated but I felt it necessary to character development. I thoroughly enjoyed reading from each character's perspective about the events that ripped their quiet neighborhood apart. I would recommend Johnson Road to anyone, especially those interested in crime/murder mystery novels."
4.0,decent story well done
4.0,was very well written but the only thing I didn't like was that I knew who did it before I finished reading it
5.0,"as a writer i live to fmd plot hoes and found zero. i was entertained and found the style unusual. this goes far deeper than the words offered. clever reader manipuation. the stuff of movies.....well played .  i stand witj
 praise for the audacity and poise for the author. stricking prose and solid characters and flawless plotting.ago in...wel l played with a heluva payoff.brave
 yes. i recommemd this gem for sheer briliance"
4.0,"enjoyed & did not expect the end to be as it was. good story, sad @ times, but good."
5.0,hard to put down. great read.
5.0,"This book was a very enjoyable read. The beginning can be a little confusing at first, with a lot of characters to introduce and some jumping around to different times in the plot, but once you get through that, it really flows. Every chapter was easy to get lost in. The characters were intriguing. I didn't want to put the book down."
5.0,"Imagine you're sitting on the front porch in suburban Alabama, listening to the cicadas chorus rasping in the live oaks, and your host leans back in his rocker, swirls the bourbon in his glass and says in his melliferous drawl, Let me tell you a story about this place, how it began years ago.  Get ready for an engrossing tale that will send the proverbial shivers up your spine! Check out his new book, ""Billy"".<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Billy-A-Tale-Of-Unrelenting-Terror/dp/B015NL3ZFW/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Billy: A Tale Of Unrelenting Terror</a>"
5.0,"Well, what can I say, except that Johnson Road kept me glued to the page from the very first line. Read this book and you'll never look at your neighbors the same way again. Along the way you will meet the residents of Johnson Road, the Bickman family, the Jenkins, and the well heeled Petersons, who lord it over the rest of the street.
Chilling and dark, this journey through a suburban nightmare will keep you up at night, as you try to figure out who the killer is. I bet you can't guess!"
5.0,"I read this book in a single rainy afternoon, I couldn't put it down. The story is set in the 1950's and early 1960's, in a small town in Alabama. The story focuses on a road within that town, Johnson Road. The book is subtly written, which underlies the sad and eventually horrific events that befall the residents who live on the road.
I think anyone who loves crime, true crime, and mystery stories would enjoy this book. The characters feel realistic, and it easy to identify with the various families the story centers around. The author does a good job of making you feel like you are peeking through the window of a neighbor's house, and discovering the hidden secrets within!"
4.0,"This was an unusual story.  A new sub-division is built on Johnson Road, an area formerly occupied only by an older man in a rundown house and now it has been turned into a neighborhood with new families moving into them.  What happens to the various members of these families and how it affects the older man  is the whole story and I think it is a good one."
5.0,"Everyone who likes murder mystery and a book which will keep you guessing until the end, then this is the novel for you. The story revolves around the building of a new housing estate on Johnson Road.  The author brings to life the residents and occupants along with their family secrets and hidden agendas.

When a young girl goes missing it brings the local sheriff and state police together and in their investigations it opens a can of worms in every household unlocking horrors and nightmares they could not envisage.

This novel had me totally engrossed from page 1, which I could read time and time again.  The descriptions of the families and what happens behind closed doors is what makes this book a must read. When you think you have figured out what has happened the author throws a spanner in the works and you have to re think your ideas.

An absolute gem of a read and I am now eagerly awaiting the authors next novel BILLY."
3.0,"Nice product Pole needs to be 6"" longer and stronger at the intersection of the two joined pieces that screw together."
4.0,Pretty sturdy and gives great shade. Also protect in light rain. Love it. The only thing that it is missing is a tie. I would purchase again.
5.0,"Bought 3 weekd. Good product for the price. How it holds over time is yet to be seen
 UV rays normally deteriorates the csnopy."
3.0,"Very light, pole should be 6"" longer and there is no cleat to wrap the cord around when open and secure"
5.0,Ours has withstood over a year of tropical Florida's sunshine and the occasional 'monsoon' rains without generating any complaints. Is there something else we could ask for in an umbrella?
2.0,Cheaply made... Canopy is so thin that sunlight and rain comes right through it. wood that supports canopy is undersized for the size of the canopy. Heavy Duty??? I don't think so.
1.0,"Ordered 2 two and one arrived damaged.  You get what you pay for, umbrella is cheap, the mast bends at the joint, material is thin, I would not buy this product again."
1.0,"This is a large umbrella and works well. The pole is about 6 inches too short so when folded down the ends hit on the table top. Not sure why and my table is a standard height patio table. It's an easy fix though by adding piece inside umbrella stand tube. The material seems thin but construction seems good. I'm happy with it so far but it's only been in use for 1 month.

Update November 2015:
After 6 months it has faded from nice green to ugly brown in the Alabama summer sun. One of the wooden stakes that extend the umbrella open has broken even though it remains closed most all the time and is always closed in stormy/wind weather. I would not recommend this product."
1.0,Buyer beware. Junk!
2.0,Save your money or buy a higher quality shade. Everything about it was cheap and sorry I wasted mine.
4.0,"The umbrella is ok., however the pole since has been cut for shipping purposes, when you put it together is very weak to resist strong wind."
4.0,"If you want a huge, sturdy patio umbrella this is the one to buy. Very nice color and materials. Pulley design is good and i have no problems pulling the wood frame when I open it. I would have given it 5 stars but the green color started fading. Otherwise its a very good buy. The wooden frame is relatively sturdy compared to its aluminum counterpart. Be prepared to buy a real heavy base for the umbrella because of its size and weight. I recommmend this umbrella."
1.0,Poor quality wood has warped
4.0,"Like others, The main pole needs to be longer"
5.0,Had these before.  Glad I found them again.
1.0,"The canopy is too big for the Tivoli 10 x 10 gazebo. Just had our first downpour with this cover installed on our Tivoli gazebo with disappointing results. I had purchased replacement covers from Target online in the past but the only color left available is a grayish blue (discontinuing?) so decided to try this one since it came in Ivory. Big mistake. This one has 4 grommets per side for more drainage - which is an improvement from the original, along with the reinforced corners - but that doesn't matter because it fits my 10 x 10 gazebo so loosely that the rain can't run off and just creates big sagging pools all around the perimeter. I went out to push the water off of the canopy and realized that water was leaking through the fabric and dripping on me. Not just where is was pooling, but all over so the canopy isn't water resistant either. Will see if I can get my money back."
3.0,Fairly easy to erect even though the instructions were not clear. Also 2 of the canopy supports were bent and it was obvious someone had tried to restore them to the original shape. The structure has held up well in the face of recent 50 mph winds.
2.0,It doesn't look good after a rain storm. my canopy has 8 F-cups after the rain. This was a waste of 80.00!
4.0,"I bought it for the Target Tivoli gazebo and it fit probably better than the original canopy, perhaps ever so slightly too big but considering that the original one was ever so slightly too small, that's actually not a bad thing at all."
5.0,"I was in need of a replacement after a few years of weather beating. I've had others before, but this one fits perfectly on my gazebo, not like the others I've gotten. The material was better than expected for the price which was half of what I've paid before. Very happy with this purchase. Thank you Access Store!"
5.0,"Shipped as promised. Quality and fit is even better than the original cover. Reinforced corners, extra Velcro attachments, grommets for rain runoff...better than expected"
1.0,fell apart in one day as soon as we put it up. its all broken.
5.0,love it.
5.0,"Love it. Great price, sturdy, arrived very quickly."
5.0,Excellent product and great value!
2.0,It looks nice but the seams are not thatchers sewn. After a few weeks one of the arms ripped open a seam and now I need to sew it back to hold the arm. I would say it's average quality and not that heavy duty
2.0,"This is not a 9' umbrella, it is 8 1/2 feet.  We ordered specifically for a 9"" opening and this does not cover it.
Average cheap construction, not sure what the 5 star ratings are all about."
5.0,We purchased the umbrealla for our daughters patio/deck.  The color was true to the picture.  the pole and structure very strong and substantial.  Everything she wanted.  Everyone was very pleased with purchase.
5.0,Very pretty.  The crank seems to work easily.  The umbrella only slips over the wood slats so it's easy for them to slip off but just as easy to slip them on.  I wouldn't say it's commercial sturdy but fine for a backyard.
5.0,Good construction and perfect for my backyard.  Thanks.
5.0,It was perfect!
4.0,Nice to display New Hampshire 3'x5'State Flag - Polyester in front of home along with the USA flag.  Reminds me of my home and last somewhat free state.
3.0,A light weight flag that will not be flown often and not in a stiff wind but is a good deal considering the low cost
3.0,"Pros:
Cheap (5 dollars total? Nice!)
Colors are reasonably accurate.
Shipping and processing was blazing fast!

Cons:
My flag was not a rectangle, but a trapezoid.
The printing isn't perfect, small things are off and colors sometimes bleed outside lines
Very flimsy material, if you want to put this flag outside, be prepared to lose it after a season, or buy a better one.

Overall:
Worth the purchase, I'd do it again.  My major pet peeve was that one of this flag's sides was cut at a slant, rather than straight.  It's very irritating to look at, so i folded it over and taped it (this flag is on my wall.)  I feel like this kind of mistake is inexcusable, regardless of how much you pay.  It's not like it costs any money to measure it correctly, and it's abnormal shape affects what little functionality it has.  Considering what I paid, I expected the other cons of this flag and I am otherwise satisfied with it.  If it had been a reasonably perfect rectangle it would have been 4-5 stars.

I recommend this for anyone who wants to use these flags for decoration somewhere free from the elements.  I have used flags with these flimsy materials outside before, and they don't last long, especially in the harsh New England weather.  Seriously, just buy the more expensive flag.  If you don't, you'll quickly find that the five dollars spent becomes five dollars flushed down the toilet."
5.0,"This flag is beautifully colored.  It is thinner than I thought it would be, but a great value for the price."
5.0,"Great for decoration! Super light, packs down really small but fills up a good portion of my wall. Shipped quickly, good quality."
4.0,"It is somewhat see through and probably won't hold up against the elements, but I got it to hang in my garage/beer hall, so it workls great for the price!"
3.0,"For the price, this is a great product. I just needed a cheap Colorado flag. However, the material is extremely thin, and will show a lot of the colors behind the material, if placed outside or on a wall. It also came folded, and those folded have been creased in a way that I cannot get them out."
5.0,"I don't spend a lot on my flags because they really get beat up.  So I but the lesser quality figuring that they'll have to be replaced a couple of times a year anyways.  The fact that this very inexpensive flag is still flying 8 months later pleases me well.  It's up about 20 feet, 7/24, and sees winds averaging 5 to 10 mph on a 'normal' day with the occasional storm friont gusts reaching as high as 60+ mph.  So far (8 months later) it's just now starting to show a little fraying on the ends.  I'll be buying another shortly to have ready when this one finally gives in."
5.0,"After vacationing in Colorado, we wanted to purchase a State Flag.  We love it and are very pleased with the quality of it."
5.0,"Super fast processing and shipping, if you are looking for flags look no more good quality product and a great company to do business with."
5.0,"The flag was new, shipped fast, and was exactly what I expected. I had a great experience with this seller!"
4.0,"I bought ten of these flags for a display.  They're perfect for my use.  They aren't a flag I'd plan to fly, but to hang up or to use a few times, they're perfect.  The store shipped quickly and they were just as described."
5.0,It's a good flag and it looks great on my wall.  Go Colorado!
5.0,lightweight nylon as advertised.  good quality
5.0,Great product.  I would recommend this product.  I would recommend this product.
3.0,I wish they did something with the edges. This flag is inside and the edges are still fraying.
4.0,The colors are great and at least mine came hemmed.  Perfect for what I wanted it for.  It is light weight but it is advertised as that so exactly what I expected.
5.0,Item as described
5.0,"good quality, no rips or tears, you might have to iron it though. so many wrinkles."
2.0,Colors bled/ weren't completely filled in the blue sections.
5.0,vERY nICE
5.0,"Quality fabric for being so cheap. I have it hanging on the wall in my room and it looks awesome. The flag of the greatest state in America, what's not to love!"
2.0,Flag is not symmetrical - one side of the flag is nearly two inches longer than the other.
5.0,Cool
3.0,"Very thin fabric, nice for indoors, not ourdo"
3.0,"Good general use flag. It will, however, fray out on the leading edge over time with the high winds we get here. Otherwise, very satisfied."
5.0,Beautiful!
5.0,GREAT PRICE I LOVE MY STATE AND COUNTRY
5.0,it looks terrific
5.0,Love it!  And a great price!
5.0,Great for what you pay for and would recommend this if you need a cheap wall flag (indoor use). The edges are not all straight but you only notice it if you look at it for a long time.
5.0,Great display flag for the den.
5.0,This was a perfect goodbye gift for our foreign exchange student as he left Colorado to go home.  Very nice.
1.0,Low quality and disproportionate.
4.0,It's a cheapie flag but it does the job.  We would probably order again.
1.0,"I do not recommend this product, even if it's intended to hang indoors as decoration. This flag is made of very flimsy material, so thin it's see-through: as if it's made of nylon tissue paper. The colors are dull, not true to what should appear on a Colorado flag. Like other purchasers, I wanted a flag to hang in a dorm room. When this flag arrived, both my son and I were very disappointed. Tip for those who want a more substantial product: check the weight and the thickness of the flag as folded for shipping."
5.0,It was perfect
5.0,"Good flag, cheap quality but holds up well. I have it in my bedroom, do not know if this would be suited for outdoor use"
1.0,This flag frayed and the grommets ripped out the first week that we had it. will not buy another one of these.
3.0,Very flimsy material and very wrinkled.
5.0,"looks great, especially for the price."
5.0,Perfect!  It was a gift for our daughter and son-in-law who just moved to Colorado from New Jersey.  They love it!
1.0,"Flag was incorrectly designed. The ""C"" was not off center as it should be."
5.0,Thanks!
4.0,For the price the quality is good.  My son wanted a flag for his room and this was perfect.
1.0,"I bought two flags, one for Chicago and one for Colorado. This is a you get what you pay for situation. Both flags looked great but the wrinkles hadn't even worn out before the edge started to fray. We're talking a couple of days and not weeks. I can't recommend these flags. While I didn't expect the best of the best, I expected it to last at least a few weeks!"
5.0,"Great for hanging on a dorm wall, colors are vibrant and detailed."
3.0,"You get what you pay for and this flag is a perfect example. While the colors are true and vivid, the thin material and weak grommets are slightly disappointing but to be expected in a five dollar flag. I bought the flag for indoor use and therefore don't need it to be durable. My biggest complaint is that the end of the flag was poorly cut. The end was clearly uneven and somewhat jagged. This problem was solved by two minutes of work with a pair of scissors, but it was still irritating that the product had that much room for improvement when it was received by the customer. Bottom line: good flag for indoor use but it is not duarable and the end will likely have to be smoothed out with scissors prior to use."
3.0,"The flag was cut/sewn uneven. I hung the flag on my wall and it is visibly crooked. Really disappointing. They also shipped through Ontrac, which is possibly the worst delivery company in existence. Order through someone else."
1.0,"This flag was trash, the C was in the center and the colors were wayyy off, do not buy, I REPEAT DO NOT BUY"
5.0,Great! Exactly what I ordered!
5.0,"Perfect flag, no rips or stains. Perfect for the dorm room."
1.0,Was not rectangular
3.0,Nothing wrong with the flag and it is holding up ok but I have had other flags for the same price that were much sturdier than this one.
4.0,"Hung it up on my closet door. Not the highest quality (feels a little stiff/plastic-y), but perfect for my needs!"
3.0,"CHEAP quality for a cheap price. Not surprised, happy?"
1.0,Rips so easily!
3.0,hard to get the initial creases out but it's hard to beat that price....
5.0,solid material.
4.0,"This flag looks good, and fits well as a wall decoration for me. It comes slightly bigger than the stated 3x5ft, but it's only a slight adjustment for hanging it from a wall. It doesn't look to suitable for a flagpole, as it seems slightly translucent, but mounted on a wall as it is, it is no doubt an excellent accent to a otherwise empty white wall."
5.0,Looks great on my wall!
3.0,"These are bright, large flags, but definitely not durable enough for outdoor use (I display mine indoors, so not a big deal considering the low price). However, I bought two and both are irregularly shaped - they have more of a tilted parallelogram cut rather than a perfectly straight rectangle shape, which means they hang funny from their two grommets. They are not stitched on any of the edges, so I can't really fix the shape by re-sewing it. Not bad if your intended use is more decorative rather than practical or durable."
5.0,Colorado!!!!!
5.0,"This is an inexpensive flag. It is accurate, and nice enough for the price."
4.0,Not much to say about the flag.  It is a cheap (price wise) polyester flag that serves its purpose in our school cafeteria.  The color is vibrant and the size is a true 3' x 5'.
4.0,"I love the flag, but there is 1 issue: The right side is uneven, and it does not form right angles with the top and bottom sides. Even still, it looks great!"
3.0,"A little thin, you can see through this even against the wall. Mine was assembled sloppily, so the lines are not square with the edges. Worth the less than $5 I paid."
5.0,"I had frayed edges in 2 days, but it still flies"
4.0,Great flag only disappointment is that the outside edges of the flag are not hemmed flag does have great color though
4.0,"Nice flag to hang on the wall. For the price, I think it is a good buy"
5.0,"Nothing says ""Best State in the Country"" like a big old Colorado flag.  I am a recent transplant to the heathen lands of the Bay Area, and this piece of home reminds me of a place where men are men, women are women, and we all hate Texans and Californians.  Definitely a must have!"
3.0,The flag it self is beautiful but they did not finish the end and it is raveling already so unless I sew it quickly the flag will be destroyed.
4.0,washed in bag in washing machine and ripped a little. hand wash.
4.0,Great quality for an unbeatable price. Looks like it costs at least $20.
4.0,Very big and thick material. Good price too.
5.0,"Perfect! in price, delivery time and product. Thanks"
1.0,"No hems whatsoever. I would've paid more for better quality. Also, it's a bundle of wrinkles."
4.0,a
5.0,"C-O, you know! Perfect for setting off the Colorado pride. Not only is weed legal but we also live in a damn postcard. Just can't beat the state or the price on this one. Looks great on the wall & gets lots compliments for less than $10"
5.0,Good quality flag
4.0,"You get what you pay for... a great decoration piece in a garage / house, but not for flying."
2.0,"I was disappointed in the Colorado State Flag.  Even though the colors are vibrant as advertised, the material is flimsy and there is no hem along the sides or end.  I gave this flag 2 stars only because one star rates it as hating it...I do not hate Colorado's beautiful flag.  I feel badly that I did not spend more money for a flag of better quality.  With the high winds experienced in my location, I do not expect the flag to last very long.  I do not recommend the purchase of this item."
5.0,On my daughters wall while she attends college. Reminds her of home.
5.0,"I reordered this flag after the first one lasted 2+ years in the Colorado sun and wind. For the price, it can't be beat. Good service and delivery too."
2.0,Started ripping in the wind the first week with just the usual amount of wind.  I bought two but they won't last long
5.0,"Serves the purpose and seems to be holding up well.  I'm a little concerned about fading of the colors, but we'll see how that goes.  For the price, I think it is a good buy."
5.0,"I have love for Colorado like no other place I know.
Nice flag to hang on the wall and show my pride."
4.0,"This flag is a decent flag for the price, but you definitely get what you pay for with this item. I was a little surprised at how thin it is, but it is perfect for my uses: hanging indoors!  The only reason I rate this item at 4 stars rather than 5 is that there is an area that the color is bled (roughly the size of a US $.50 piece), but it isn't big enough to be a deal breaker for me.

Pros: Affordable flag, large size, great for indoor use
Cons: Thin, possible quality issues?

I'd still recommend it though!"
5.0,"It is a little see-through, but on a white wall is perfect. It's a really good size and it's durable."
5.0,"Good quality. The flag is REALLY big, but it hangs just perfectly outside of my dorm window. I would definitely recommend this flag for being put outside. The flag is really sheer, as a side note."
5.0,This flag is HUGE I love it and think for the price it is indeed worth the money. Very good fabric
3.0,Very thin fabric and you can see through the flag but its nice large not something I can put outside .
5.0,"If you want to represent to others that you know what's up, you WILL purchase this Colorado State Flag!  Not only have we legalized here, but the flag is not against the law to posess either!  Move to Colorado, light one up and let that freak flag fly!"
5.0,"I decided to use this flag as a decoration in my room and also as a going away present. Overall, the flag is not super heavy but the nylon is easy to iron to eliminate the fold marks and it is a great addition to the very bare wall. No complaints what-so-ever."
5.0,"I got this so much faster than expected.  You really cannot beat the price.  The flag does not look cheap, especially not for 86 cents!  It is somewhat see through, like other reviews explained, but it is not so transparent that I would not recommend this flag to others.  I absolutely love it and am proud to support that 303 love! :)"
4.0,"I wanted a flag to display at our roadside encampment during the USA Pro Cycling Challenge.  This was a better deal than I would have dreamed of.  The flag is made of a lightweight polyester fabric with bright printed colors - perfect for our purposes.  I'm sure that it would not hold up to everyday exposure in our Colorado weather, but for occasional use it fits the bill.  And for less than $6 delivered, it was just perfect."
5.0,I bought this flag to hang in my dorm room and it is exactly what i wanted and you cannot beat the price! it is a little sheer but it looks good tacked to a wall. If you are looking for an outdoor flag this is not the flag for you!
5.0,for being so cheap this flag is awesome. I have it hanging on my wall and it's perfect. I wouldn't use it outside or against a really dark wall since it's pretty thin and see through. but it's perfect against a white/light colored wall and its sooo cheap!
5.0,"Good quality, low price, a very good buy. I am using this just below the U.S. flag on a 10 foot flag pole and it looks awesome."
5.0,"I love Colorado, and what better to show it than owning a Colorado flag? This flag is great! The size is amazing. Makes you a true Coloradoan."
1.0,You get what you paid for. The flag material is eh. Best of all it was cut crooked! The bottom portion is about 4 inches shorter than the top of the flag therefore it look ridiculous when hung on the wall.
5.0,"I bought this to hang in my room, and it does just that. But, it is way too thin to hang outside, so do not purchase it for that."
2.0,The flag feels durable but its been printed crooked which would be fine if I were hanging it outside but I bought it for my dorm room and it drives me crazy looking at it straight on. The one I got for my boyfriend is the same.
5.0,"Easy, Fast, and Reliable.  Received my flag in a very short amount of time and it was the exact one I ordered."
2.0,Cheap flag. Cheap thin material. Was in tiny bag for too long and the color seeped through onto the white part so now I have red and blue instead of white. Do not recommend.
5.0,"The size of the flag was exactly as ordered.  It was a lighter weight than I would have liked but that was my fault for not knowing what exact specs I wanted.  But this is only for my grandson's Cub Scout Troop and is used 95% of the time indoors so the flag  will work just fine.

For the price it was fantastic.  I will order from this vendor again."
5.0,"I bought this flag to take on a trip where there will be people from all over attending. It is exactly what I needed.  I don't expect that it will be super durable, but it is great for short term ...and who knows? It may hold up a lot better than I expect."
5.0,"I'm using it for wall decor and its perfect. Very very thin though and if I planned to
Fly it outside I'd buy a better one."
3.0,"The picture looks a little nicer than the actual flag.  The flag in person has less vivid colors and is really light-weight, flimsy and see-through material."
5.0,This flag is made of really nice materials. It does not have all the wrinkles that other cheap flags have on amazon that are made of polyester. Colors are vibrant not fade at all.
5.0,"The flag arrived safely and in excellent condition.  The colors are bright and the flag is brand new.  This is just the thing I was looking for and the price was right.  I'm very happy with this purchase, although not knowing where it was and when during the shipping process was a little disheartening.  Overall, I'm very happy with the product and the condition of the flag when I opening the packaging. I look forward to enjoying this beautiful flag in the years to come."
3.0,It shipped promptly. But upon reception I noticed it was a tad damaged in one of the corners. Overall I was satisfied but was by no means impressed.
5.0,"Great flag, although the creases from the folds still linger around, but nothing some steam can take care of. Would recommend"
5.0,Good deal shows off my colorado pride. I love colorado so wanted a flag to show off my pride. This flag was perfect because i wasn't looking to spend too much money!
5.0,"It's exactly what the description says.  Colorado state flag....and it's as cheap as dirt.  If you're looking for an inexpensive Colorado flag for your teen going to college or for yourself, this is a good choice."
5.0,"Each member of my family was born in a different state so I bought one for each of us. The kids love them, it gives them a pride in their homestate. These are cheaply made flags, but they are just for hanging in our boys bedrooms."
4.0,"The flag arrived super fast and looks pretty nice. I have it on the wall already, the stitching on one end is crooked actually which is weird so it doesnt line up with the other flags I have on the wall. Very thin material so it will rip easily if you don't put the thumb tac in the right spot and mine tore a small bit. But the colors are clean and look great!"
5.0,"Never has there been such a beautifully crafted flag. The great state of Colorado has so much going fo it, and I'm proud to wave this flag in support."
2.0,If you're looking for a high quality flag this is not the flag you wanna buy.  But if you're looking for a cheap flag that'll serve a basic need (decorative mainly) then this might be the flag for you.  The only things that I didn't like about it were the material (it was too thin) and the color (it was too light; I wish it was a little darker).  Otherwise it was decent.
5.0,"The flag shipped on time and even arrived 2 days early. The flag itself is the right sized and is what's pictured (Colorado state flag). I hung this flag on my wall and it looks great. I would not purchase this flag to hang outside and expect it to withstand the elements for long. Yes it's creased from being folded but I expect those will come out over time. Also I read that some people had problems with it being too thin, but the white wall doesn't show though it. I would think that on a dark (black) background it may be noticeable. However this is an awesome price for a good looking flag to hang inside."
4.0,"I bought this flag to hang in my garage. Being from Colorado and in the military, I wanted something to hang up to show pride in where I'm from. This flag is somewhat transparent but works great for hanging on a wall. I don't think I'll ever fly it outside."
3.0,"<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Colorado-US-State-Flag-3x5foot-poly/dp/9539723809/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Colorado US State Flag: 3x5foot poly</a>Not something that worth buying, a much better materiel this one will torn down in the first wined I can't use it for the out side"
5.0,Represent! I am in love with my state and I absolutely had to get a flag for my wall. This flag is so much better than I expected it to be! The price was so low and the flag is beautiful. Its large and well made. I love it. Can't imagine my apartment without it <3
5.0,"I'm a big fusion fan and have always liked Carlton. I have some random songs downloaded, but never picked up one of his CD's until now. This is a great CD for someone to start with. Carlton is one of the best and the music is good, end-to-end."
5.0,Larry Carlton is possibly the best american guitarist at this time.  This cd is an excellent collection of his music.  I have no complaintes  This is an excellent cd.
5.0,"I originally bought Larry Carlton's ""Collection"" CD because it contained the song ""Sleepwalk"" which my wife and I played at our wedding reception. It wasn't long before I grew to love almost every track on the CD! Over the years I have listened to it hundreds of times, and even used several tracks as test pieces when purchasing new speakers for my audio room. Recently the CD went missing (or perhaps one of my friends permanently borrowed it!). Despite having all the tracks in MP3 format on my PC, I've ordered another copy on CD - It's that good. If you like this CD you might also like one of the CDs by Foreplay. Happy listening."
5.0,Sweet Guitar from Larry Carlton. The Collection is his Greatest Hits and there isn't a bad track on the CD. This music is great cruising music. Open the Sun Roof and just Drive to Nowhere. Enjoy the smooth jazz sound of Larry Carlton.
4.0,"Larry Carlton is one of the few great guitarists whose style is so distinctive that you recognise it the moment you hear it.  His smooth, expressive tone is what many guitarists can only dream of coming close to.

He is also probably one of the most requested session musicians ever.  His early work with Steely Dan was just brilliant and here on this disc, although you don't get the Steely Dan stuff, you get a very good representation of his first 12 years in the business.

As is expected of a GRP recording, the sound quality is excellent coming from a digital master and there are two never before released recordings as well.  The best track is ""Sleepwalk"" which shows you just what great phrasing the guy has, probably one of the hardest things for any musician to achieve is good phrasing and LC achieves this with ease.

A brilliant musician and a great disc!"
5.0,Larry has had a very successful career. This CD captures a number of the better tunes from his earlier years.
